Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
HAMAD INTERNATIONAL AIRPORT,QA,41169,25.2731,51.6081,2026-02-03,12:00,12Z,109,104,-6,,,99,-11,107,-2,UWYO,OK,Exact 250 mb level.
ABU DHABI INTERNATIONAL AIRPOR,AE,41217,24.4333,54.65,2026-02-04,00:00,00Z,77,76,-1,,,77,0,79,2,UWYO,OK,Exact 250 mb level.
MUSCAT INT'L AIRPORT,OM,41256,23.6087,58.2615,2026-02-04,00:00,00Z,68,66,-2,,,75,7,74,6,UWYO,OK,Exact 250 mb level.
SALALAH AIRPORT,OM,41316,17.0346,54.0737,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CHITRAL,PK,41506,35.9217,71.8,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DROSH,PK,41515,35.5667,71.7833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GILGIT,PK,41516,35.9167,74.3333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PESHAWAR,PK,41529,34.0333,71.9333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
JHELUM,PK,41598,32.9333,73.7167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SIALKOT,PK,41600,32.5,74.5333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DERA ISMAIL KHAN,PK,41624,31.8167,70.9167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
LAHORE CITY,PK,41640,31.55,74.3333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
MULTAN,PK,41675,30.2,71.4333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BAHAWALNAGAR,PK,41678,29.95,73.25,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
JACOBABAD,PK,41715,28.3,68.4667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KHANPUR,PK,41718,28.65,70.6833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KARACHI AIRPORT,PK,41780,24.9,67.1333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
RANGPUR,BD,41859,25.7333,89.2333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BOGRA,BD,41883,24.85,89.3667,2026-02-04,00:00,00Z,115,117,2,,,108,-7,111,-4,UWYO,OK,Exact 250 mb level.
SYLHET,BD,41891,24.9,91.8833,2026-02-03,00:00,00Z,108,107,-1,,,104,-4,105,-3,UWYO,OK,Exact 250 mb level.
ISHWARDI,BD,41907,24.1333,89.05,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DHAKA,BD,41923,23.7667,90.3833,2026-02-04,00:00,00Z,110,111,1,,,111,1,113,3,UWYO,OK,Exact 250 mb level.
JESSORE,BD,41936,23.1833,89.1667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
FENI (41943-0),BD,41943,23.0333,91.4167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
