Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
BUCURESTI BANEASA,RO,15420,44.5104,26.0782,2/3/2026,0:00,00Z,37,40,3,,,40,3,39,2,UWYO,OK,Exact 250 mb level.
SOFIA (OBSERV.),BG,15614,42.65,23.3833,2/2/2026,12:00,12Z,29,29,-1,,,27,-2,28,-1,UWYO,OK,Exact 250 mb level.
UDINE/RIVOLTO,IT,16045,45.9756,13.0492,2/3/2026,0:00,00Z,57,54,-3,,,54,-3,60,3,UWYO,OK,Exact 250 mb level.
NOVARA/CAMERI,IT,16064,45.53,8.6667,2/3/2026,0:00,00Z,55,61,6,,,60,5,63,8,UWYO,OK,Exact 250 mb level.
CUNEO-LEVALDIGI RDS,IT,16113,44.5392,7.6125,2/3/2026,0:00,00Z,65,74,9,,,72,7,69,4,UWYO,OK,Exact 250 mb level.
S. PIETRO CAPOFIUME RDS,IT,16144,44.6539,11.6225,2/3/2026,0:00,00Z,65,73,8,,,71,6,74,9,UWYO,OK,Exact 250 mb level.
PRATICA DI MARE,IT,16245,41.6556,12.4481,2/3/2026,0:00,00Z,78,76,-2,,,77,-1,72,-6,UWYO,OK,Exact 250 mb level.
LECCE (16332-0),IT,16332,40.2383,18.1389,2/3/2026,0:00,00Z,77,77,0,,,77,-1,77,0,UWYO,OK,Exact 250 mb level.
TRAPANI BIRGI,IT,16429,37.9142,12.4914,2/3/2026,0:00,00Z,65,69,4,,,65,0,67,2,UWYO,OK,Exact 250 mb level.
DECIMOMANNU,IT,16546,39.3461,8.9675,2/3/2026,0:00,00Z,84,79,-5,,,90,6,84,0,UWYO,OK,Exact 250 mb level.
THESSALONIKI (AIRPORT),GR,16622,40.529,22.9703,2/2/2026,0:00,00Z,22,23,1,,,23,1,23,1,UWYO,OK,Exact 250 mb level.
ATHINAI HELLINIKON,GR,16716,37.8897,23.7417,2/2/2026,12:00,12Z,44,38,-6,,,42,-2,44,0,UWYO,OK,Exact 250 mb level.
HERAKLEION (AIRPORT),GR,16754,35.3353,25.1819,2/3/2026,0:00,00Z,103,101,-2,,,97,-6,99,-4,UWYO,OK,Exact 250 mb level.
POLARGMO IM. E.T. KRENKELJA,RU,20046,80.6264,58.0589,2/2/2026,12:00,12Z,8,12,4,,,10,2,8,0,UWYO,OK,Exact 250 mb level.
GMO IM.E.K. FEDOROVA,RU,20292,77.7131,104.2919,2/3/2026,0:00,00Z,21,19,-2,,,19,-2,20,-1,UWYO,OK,Exact 250 mb level.
OSTROV DIKSON,RU,20674,73.5136,80.4064,2/2/2026,0:00,00Z,35,30,-6,,,32,-3,33,-2,UWYO,OK,Exact 250 mb level.
MALYE KARMAKULY (20744-0),RU,20744,72.3744,52.7161,2/2/2026,0:00,00Z,37,36,-1,,,40,3,41,4,UWYO,OK,Exact 250 mb level.
TIKSI,RU,21824,71.5833,128.9167,2/3/2026,0:00,00Z,14,10,-4,,,12,-2,9,-5,UWYO,OK,Exact 250 mb level.
LULEA-KALLAX (2185-0),SE,2185,65.5433,22.1144,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
CHOKURDAH,RU,21946,70.6167,147.8833,2/2/2026,12:00,12Z,27,23,-4,,,26,-1,25,-2,UWYO,OK,Exact 250 mb level.
MURMANSK (RS),RU,22008,68.9833,33.1167,2/3/2026,0:00,00Z,35,37,2,,,35,0,36,1,UWYO,OK,Exact 250 mb level.
KANDALAKSHA,RU,22217,67.1692,32.3542,2/3/2026,0:00,00Z,31,28,-3,,,28,-3,28,-3,UWYO,OK,Exact 250 mb level.
SHOJNA,RU,22271,67.8767,44.1742,2/3/2026,0:00,00Z,21,22,1,,,23,2,21,0,UWYO,OK,Exact 250 mb level.
KEM,RU,22522,64.95,34.65,2/3/2026,0:00,00Z,16,12,-4,,,15,-1,15,-1,UWYO,OK,Exact 250 mb level.
ARHANGEL'SK (22543-0),RU,22543,64.6247,40.5114,2/3/2026,0:00,00Z,6,13,7,,,10,4,7,1,UWYO,OK,Exact 250 mb level.
PETROZAVODSK,RU,22820,61.8167,34.2667,2/3/2026,0:00,00Z,17,20,3,,,18,1,17,0,UWYO,OK,Exact 250 mb level.
KARGOPOL,RU,22845,61.5067,38.9347,2/3/2026,0:00,00Z,29,28,-1,,,30,1,32,3,UWYO,OK,Exact 250 mb level.
NORIL'SK,RU,23078,69.3472,88.2639,2/3/2026,0:00,00Z,27,33,6,,,28,1,33,6,UWYO,OK,Exact 250 mb level.
NAR'JAN-MAR,RU,23205,67.625,53.0175,2/3/2026,0:00,00Z,21,18,-3,,,22,1,20,-1,UWYO,OK,Exact 250 mb level.
SALEHARD,RU,23330,66.5319,66.6744,2/3/2026,0:00,00Z,21,20,-2,,,23,2,20,-1,UWYO,OK,Exact 250 mb level.
PECHORA (23415-0),RU,23415,65.1167,57.1,2/3/2026,0:00,00Z,21,21,0,,,21,0,24,3,UWYO,OK,Exact 250 mb level.
TURUHANSK,RU,23472,65.7944,87.9889,2/3/2026,0:00,00Z,45,44,-1,,,43,-2,45,0,UWYO,OK,Exact 250 mb level.
SUNDSVALL HARNOSAND (2365-0),SE,2365,62.5317,17.4361,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
SYKTYVKAR (23802-0),RU,23802,61.6767,50.7806,2/3/2026,0:00,00Z,21,24,3,,,25,4,23,2,UWYO,OK,Exact 250 mb level.
BOR,RU,23884,61.5806,90.0306,2/3/2026,0:00,00Z,45,45,0,,,46,1,47,2,UWYO,OK,Exact 250 mb level.
IVDEL,RU,23921,60.6833,60.45,2/3/2026,0:00,00Z,41,43,2,,,47,6,46,5,UWYO,OK,Exact 250 mb level.
